"[all run data]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]"
,"1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0"
,"732","388","0","751","369","0","958","57","105","950","170","0","765","355","0","846","267","7","872","248","0","759","110","251","894","226","0","962","158","0"
,"745","375","0","767","352","1","697","109","314","963","157","0","781","338","1","873","247","0","882","238","0","620","160","340","910","210","0","976","144","0"
,"760","360","0","793","326","1","624","170","326","973","146","1","794","326","0","882","232","6","898","222","0","626","204","290","919","198","3","996","124","0"
,"772","348","0","809","311","0","631","223","266","984","136","0","817","303","0","863","225","32","911","208","1","627","245","248","930","189","1","1008","111","1"
,"790","330","0","823","297","0","632","276","212","970","138","12","829","289","2","832","241","47","928","191","1","618","296","206","958","162","0","1014","104","2"
,"806","314","0","835","285","0","638","322","160","975","142","3","840","279","1","818","258","44","945","175","0","625","341","154","942","148","30","1015","105","0"
,"816","304","0","854","266","0","647","373","100","989","131","0","860","260","0","798","268","54","959","161","0","635","387","98","850","165","105","1032","87","1"
,"840","280","0","872","247","1","674","408","38","998","122","0","872","248","0","723","298","99","967","153","0","652","431","37","722","205","193","1035","83","2"
,"854","266","0","886","234","0","702","418","0","1007","113","0","887","233","0","692","328","100","981","137","2","674","442","4","670","247","203","1049","71","0"
,"874","246","0","905","215","0","716","403","1","1019","101","0","900","220","0","715","348","57","937","137","46","688","431","1","653","290","177","1063","57","0"
